,emoji-symbol,meaning,meaning-indo,emoji-unicode,emoji-name,emoji-name-indo
0,😄,smiley,tersenyum,ðŸ˜„,grinning face with smiling eyes,wajah menyeringai dengan mata tersenyum
1,😃,smiley,tersenyum,ðŸ˜ƒ,grinning face with big eyes,wajah menyeringai dengan mata besar
2,😀,smiley,tersenyum,ðŸ˜€,grinning face,wajah menyeringai
3,😊,smiley,tersenyum,ðŸ˜Š,smiling face with smiling eyes,wajah tersenyum dengan mata tersenyum
4,🙂,blush,memerah,â˜ºï¸,slightly smiling face,Wajah yang sedikit tersenyum
5,😉,wink,mengedip,ðŸ˜‰,winking face,wajah mengedipkan mata
6,😍,loveeyes,mata cinta,ðŸ˜,smiling face with heart-eyes,wajah tersenyum dengan hati
7,😘,kiss,ciuman,ðŸ˜˜,face blowing a kiss,wajah meniup ciuman
8,😚,kiss,ciuman,ðŸ˜š,kissing face with closed eyes,mencium wajah dengan mata tertutup
9,😗,kiss,ciuman,ðŸ˜—,kissing face,wajah berciuman
10,😙,kiss,ciuman,ðŸ˜™,kissing face with smiling eyes,mencium wajah dengan mata tersenyum
11,😜,tongue,lidah,ðŸ˜œ,winking face with tongue,mengedipkan wajah dengan lidah
12,😝,tongue,lidah,ðŸ˜,squinting face with tongue,Wajah menyipit dengan lidah
13,😛,tongue,lidah,ðŸ˜›,face with tongue,wajah dengan lidah
14,😳,embarassed,malu,ðŸ˜³,flushed face,wajah memerah
15,😁,cheese,keju,ðŸ˜,beaming face with smiling eyes,Wajah berseri -seri dengan mata tersenyum
16,😔,sad,sedih,ðŸ˜”,pensive face,wajah termenung
17,😌,sad,sedih,ðŸ˜Œ,relieved face,wajah lega
18,😒,sad,sedih,ðŸ˜’,unamused face,wajah yang tidak biasa
19,😞,sad,sedih,ðŸ˜ž,disappointed face,wajah kecewa
20,😣,sad,sedih,ðŸ˜£,persevering face,wajah gigih
21,😢,sad,sedih,ðŸ˜¢,crying face,wajah menangis
22,😂,sad,sedih,ðŸ˜‚,face with tears of joy,wajah dengan air mata sukacita
23,😭,sad,sedih,ðŸ˜­,loudly crying face,Wajah menangis dengan keras
24,😪,sad,sedih,ðŸ˜ª,sleepy face,wajah mengantuk
25,😥,sad,sedih,ðŸ˜¥,sad but relieved face,Wajah sedih tapi lega
26,😰,sad,sedih,ðŸ˜°,anxious face with sweat,Wajah cemas dengan keringat
27,😅,sad,sedih,ðŸ˜…,grinning face with sweat,wajah menyeringai dengan keringat
28,😓,sad,sedih,ðŸ˜“,downcast face with sweat,Wajah Downcast dengan Keringat
29,😩,sad,sedih,ðŸ˜©,weary face,wajah yang lelah
30,😫,sad,sedih,ðŸ˜«,tired face,wajah lelah
31,😨,worry,khawatir,ðŸ˜¨,fearful face,wajah yang menakutkan
32,😨,worry,khawatir,ðŸ˜Ÿ,fearful face,wajah yang menakutkan
33,😟,worry,khawatir,ðŸ˜¨,worried face,wajah khawatir
34,😟,worry,khawatir,ðŸ˜Ÿ,worried face,wajah khawatir
35,😱,worry,khawatir,ðŸ˜±,face screaming in fear,wajah berteriak ketakutan
36,😱,worry,khawatir,ðŸ˜¦,face screaming in fear,wajah berteriak ketakutan
37,😦,worry,khawatir,ðŸ˜±,frowning face with open mouth,wajah mengerutkan kening dengan mulut terbuka
38,😦,worry,khawatir,ðŸ˜¦,frowning face with open mouth,wajah mengerutkan kening dengan mulut terbuka
39,😠,angry,marah,ðŸ˜,angry face,wajah marah
40,😡,angry,marah,ðŸ˜¡,enraged face,wajah yang marah
41,😤,angry,marah,ðŸ˜¤,face with steam from nose,wajah dengan uap dari hidung
42,😖,wince,menggerenyet,ðŸ˜–,confounded face,wajah yang dikacaukan
43,😆,laugh,tertawa,ðŸ˜†,grinning squinting face,Wajah menyipitkan mata yang menyeringai
44,😋,licklips,menjilat bibir,ðŸ˜‹,face savoring food,wajah menikmati makanan
45,😷,respirator,alat bantu pernapasan,ðŸ˜·,face with medical mask,Wajah dengan Topeng Medis
46,😎,sunglasses,kacamata hitam,ðŸ˜Ž,smiling face with sunglasses,wajah tersenyum dengan kacamata hitam
47,😴,Zzz,Zzz,ðŸ˜´,sleeping face,wajah tidur
48,😵,dead,mati,ðŸ˜µ,face with crossed-out eyes,wajah dengan mata juling
49,😲,dead,mati,ðŸ˜²,astonished face,Wajah Terkejut
50,😧,worry,khawatir,ðŸ˜§,anguished face,wajah yang sedih
51,😈,devil,iblis,ðŸ˜ˆ,smiling face with horns,wajah tersenyum dengan tanduk
52,👿,devil,iblis,ðŸ‘¿,angry face with horns,wajah marah dengan tanduk
53,😮,oh,Oh,ðŸ˜®,face with open mouth,wajah dengan mulut terbuka
54,😬,cheese,keju,ðŸ˜¬,grimacing face,wajah meringis
55,😐,straight,lurus,ðŸ˜,neutral face,wajah netral
56,😕,worry,khawatir,ðŸ˜•,confused face,wajah bingung
57,😯,oh,Oh,ðŸ˜¯,hushed face,Wajah yang hening
58,😶,nomouth,tidak ada mulut,ðŸ˜¶,face without mouth,wajah tanpa mulut
59,😇,angel,malaikat,ðŸ˜‡,smiling face with halo,wajah tersenyum dengan halo
60,😏,smirk,seringai,ðŸ˜,smirking face,wajah menyeringai
61,😑,straight,lurus,ðŸ˜‘,expressionless face,wajah tanpa ekspresi
62,👲,gua,gua,ðŸ‘²,person with skullcap,orang dengan Skullcap
63,👲🏻,gua,gua,ðŸ‘²ðŸ»,person with skullcap light skin tone,orang dengan warna kulit ringan Skullcap
64,👲🏼,gua,gua,ðŸ‘²ðŸ¼,person with skullcap medium-light skin tone,orang dengan warna kulit cahaya sedang skullcap
65,👲🏽,gua,gua,ðŸ‘²ðŸ½,person with skullcap medium skin tone,orang dengan warna kulit sedang skullcap
66,👲🏾,gua,gua,ðŸ‘²ðŸ¾,person with skullcap medium-dark skin tone,orang dengan warna kulit skullcap sedang-gelap
67,👲🏿,gua,gua,ðŸ‘²ðŸ¿,person with skullcap dark skin tone,orang dengan warna kulit gelap tengkorak
68,👳,turbin,turbin,ðŸ‘³,person wearing turban,orang yang memakai sorban
69,👳🏻,turbin,turbin,ðŸ‘³ðŸ»,person wearing turban light skin tone,orang yang mengenakan warna kulit ringan sorban
70,👳🏼,turbin,turbin,ðŸ‘³ðŸ¼,person wearing turban medium-light skin tone,orang yang mengenakan warna kulit ringan sorban
71,👳🏽,turbin,turbin,ðŸ‘³ðŸ½,person wearing turban medium skin tone,orang yang mengenakan warna kulit sedang turban
72,👳🏾,turbin,turbin,ðŸ‘³ðŸ¾,person wearing turban medium-dark skin tone,orang yang mengenakan warna kulit menengah-gelap sorban
73,👳🏿,turbin,turbin,ðŸ‘³ðŸ¿,person wearing turban dark skin tone,orang yang mengenakan warna kulit gelap sorban
